video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"bylKUuQnM7M","ANDRE KENA PRANK LAGI ‼️ PINJEM UANG 3,7M","2020-06-03T07:00:08Z","UCZWk_k207M--sLScrLdM3JQ","SULE Channel","24","20.07.06","yt:cc=on|Sule|Sule Prikitiew|sule prikitiw|komedian|komedi|comedy|comedian|host|pembawa acara|pelawak|ovj|ini talkshow|net|sutisna|sos|oesman|oesman77|joke|laugh|humor|stand-up|unyu|tawa|candaan|guyonan|warkop|rizky febian|lucu|funny|jokes|DRM|DR.M|Music|smile|follow me|taubat|andre taulany|parto|nunung","4807877","229082","4793","23520","https://i.ytimg.com/vi/bylKUuQnM7M/default.jpg","False","False","---Tong hilap, di LIKE, COMMENT, SUBSCRIBE, & SHARE.Langganan SULE Channel Gratis:http://bit.ly/SuleChannelIkuti SULE di media sosial:https://www.facebook.com/Sule-sutisna-101526308171150https://twitter.com/newsuleprikitiwKerjasama YouTube dengan SULE Channel:youtube@drm-indonesia.comCopyright 2020 - SULE Channel Production.SULE CHANNEL on YouTube is under dr.m network, Indonesia's First Certified Official Youtube MCN (Multi Channel Network)https://servicesdirectory.withyoutube.com/directory/pt-digital-rantai-maya-drm"
"2cgMU8qLLIE","KEKE BUKAN BONEKA","2020-05-29T06:41:29Z","UCgNta-LDuKzThNq6k43N1AQ","rahmawati kekeyi putri cantikka","26","20.07.06","[none]","25186683","0","0","457028","https://i.ytimg.com/vi/2cgMU8qLLIE/default.jpg","False","True",""
"_iEka4n_kxE","Tuntut Presiden Jokowi Mundur, Siapakah Sebenarnya Sosok Dibalik Eks Anggota TNI Ruslan Buton?","2020-06-01T15:57:20Z","UC5BMIWZe9isJXLZZWPWvBlg","KOMPASTV","25","20.07.06","ruslan buton|jokowi|viral|virus corona|TNI|ambon","4508950","36284","10177","19162","https://i.ytimg.com/vi/_iEka4n_kxE/default.jpg","False","False","JAKARTA, KOMPAS.TV - Ruslan Buton, tersangka kasus ujaran kebencian terancam hukuman penjara 6 tahun setelah rekaman suaranya mendesak Presiden Joko Widodo mundur beredar di media sosial.Penasihat Hukum Ruslan Buton menilai penyidik kepolisian terburu-buru menahan tersangka.Ruslan Buton resmi di tahan di Mabes Polri hingga 20 hari ke depan.Ruslan terancam hukuman penjara maksimal 6 tahun setelah dijerat pasal berlapis Undang-Undang Nomor 1 Tahun 1946 tentang peraturan hukum pidana dan undang-undang informasi dan transaksi elektronik.Tonin Tachta Singarimbun, Penasihat Hukum Ruslan Buton, langsung mengajukan penangguhan penahanan dan mendesak penyidik segera menghadirkan ahli dalam penyidikan.Ruslan ditangkap Tim Gabungan Bareskrim Polri dan Polda Sulawesi Tenggara pada hari Kamis 28 Mei 2020 lalu setelah rekaman suara desakan pengunduran presiden Joko Widodo, beredar di media sosial.Kombes Ahmad Ramadhan, Kabag Penum Divisi Humas Polri menyebut tersangka Ruslan Buton mengakui seluruh rekaman suara yang beredar adalah miliknyaRuslan Buton adalah Mantan Perwira Menengah TNI Angkatan Darat berpangkat Kapten yang dipecat terkait kasus pembunuhan di 2017.Sebelumnya, ia divonis hukuman penjara 1 tahun 10 bulan lalu bebas dan disebut mendirikan serdadu Tri Matra Nusantara. Penasihat Hukum Ruslan Buton, Tonin Tachta Singarimbun menyebutkan jika Ruslan Buton menolak untuk ditahan karena Ruslan merasa hanya menyampaikan pendapat dan opini dengan bahasa sastra, bukan menyatakan ujaran kebencian.Prof Hermawan Sulistyo, Kepala Pusat Kajian Keamanan Nasional Universitas Bhayangkara Jakarta Raya menyebutkan jika bahasa yang digunakan oleh Ruslan Buton ini merupakan ajakan untuk bergerak. Adapun implikasi dari sebuah pernyataan atau gerakan harus melihat dulu siapa yang berbicara. Pasalnya, saat pandemi seperti ini banyak  berita yang dianggap benar sehingga pernyataan Ruslan tersebut berpotensi meresahkan."
"k-U9YOXG4Qg","BANG YE DAM of TREASURE - '왜요 (WAYO)' M/V","2020-06-05T09:00:03Z","UCx9hXYOCvUYwrprEqe4ZQHA","TREASURE (트레저)","24","20.07.06","YG Entertainment|YG|와이지|K-pop|트레져|트레저|TREASURE|CHOI HYUN SUK|JIHOON|YOSHI|JUNKYU|MASHIHO|YOON JAE HYUK|ASAHI|BANG YE DAM|DOYOUNG|HARUTO|PARK JEONG WOO|SO JUNG HWAN|최현석|지훈|요시|준규|마시호|윤재혁|아사히|방예담|도영|하루토|박정우|소정환|BANG YE DAM of TREASURE|왜요|방예담 왜요|BANG YE DAM WAYO|WAYO|YEDAM WAYO","3806006","494002","5603","95780","https://i.ytimg.com/vi/k-U9YOXG4Qg/default.jpg","False","False","왜요 내 시계는 멀쩡한데 시간은 멈춰있고뭐 하나 되는 게 없네 내 모습이 우스워하염없이 키웠던 둘만의 세상에선덩그러니 나 혼자 여기 남겨져 있어 저 하늘에게 난 물어보고 싶어 yeah사랑한단 말은 어떤 의미였어내 세상에서 없는 건 너뿐인데다 잃은 것처럼 느껴져이런 나에게, 도대체 왜요 왜요 왜요너 없인 왜 나는 안되나요도대체 왜요 왜요 왜요just tell me 너 아님 안되나요 열두 시 넘어서 다음 날이 되면조금 멀어져 있을까yeah 숨을 참고 너란호흡기를 떼면견뎌낼 수 있을까 oh baby 저 하늘에게 난 물어보고 싶어 yeah사랑한단 말은 어떤 의미였어내 세상에서 없는 건 너뿐인데다 잃은 것처럼 느껴져이런 나에게, 도대체 왜요 왜요 왜요너 없인 왜 나는 안되나요도대체 왜요 왜요 왜요just tell me 너 아님 안되나요왜 우린 안되나요 내 곁에 있어 줄 수 없니just stay with me말없이 너를 잊고 기다린다면운명처럼  다시 만날 수 있겠니고개라도 answer me거짓이라도 answer me answer me 왜요 왜요 왜요너 없인 왜 나는 안되나요도대체 왜요 왜요 왜요just tell me 너 아님 안되나요왜 우린 안되나요 bye goodbye byebye goodbye bye왜 우린 안되나요bye goodbye byebye goodbye bye#BANGYEDAM #방예담 #TREASURE #트레저 #왜요 #WAYO #YGMore about TREASURE @https://yg-treasure.comhttps://www.youtube.com/OfficialTreasurehttps://www.facebook.com/OfficialTreasurehttps://www.twitter.com/ygtreasuremakerhttps://www.instagram.com/yg_treasure_official"
"qQtPAggFMt8","Tiara Andini - Gemintang Hatiku (Official Music Video)","2020-06-04T13:00:11Z","UCl8TJXcR80R9ctpN0aX91bw","TiaraAndiniVEVO","10","20.07.06","#indonesianidol|#idol2020|#indonesianidol2020|#tiaraidol|#tiaraindonesianidol|#tiaraandini|#tiaraandiniidol|#tiaraidol2020|#finalisindonesianidol|#finalisidol2020|#gemintanghatiku|#pemenangidol|#laguidol|#lagukemenanganidol|#laguindonesianidol|#singleindonesianidol|#finalisidol|#tiarafinalisidol|#tiarapemenangidol|#laguterbaruindonesia|#lagubaruindonesia|#lyodraidol|#lyodraginting|#lyodraindonesianidol","3278594","298051","17271","211231","https://i.ytimg.com/vi/qQtPAggFMt8/default.jpg","False","False","Tiara Andini’s official music video for debut single ‘Gemintang Hatiku’ Download and Stream : https://lnk.to/TiaraGemintangHatiku#TiaraAndini #GemintangHatiku RBT Codes:Telkomsel : TIARA1 kirim ke 1212XL : TIARA1 kirim ke 1818Music & lyrics by: LALEILMANINOProduced by: LALEILMANINO at OrganicrecordsCo produced by: Irvnat (Irvan Natadiningrat)Strings arranged by: Alvin WitarsaVocal directed by: Irvnat & Anindyo Baskoro at Bro’s Studio Mixed & Mastered by: Rayendra SunitoPublished by: Massive MusicProduction House: Peha teman // @pehateman Directed By: Jodie Octora // @jodieocto Producer : Muze Hiola // @muzerawk DOP: Bagoes Tresna //@bagoestresnaProduction Manager: Aris Kurniawan MUA and Hairdo: Arwinda //@arwindakamarga.muaFashion Stylist : Eksy Dharmawan // @eksydharmawanLighting: Modul Light - Moonvis // @modulight_ @moonvis_Editor: Vickly rich // @vicklyrichTeaser Editor: India Ongko //@indiaongkoColoring : Yulia Angreini //@yuliahaha @klover.colour Wardrobe: Studio Escalate // @studioescalateDancer : @imelnawawi @vitaoctv Choreographer: @reza.ekasLyrics :Sejak pertama bertemu dirinyaHati tak bisa berpaling darinyaTak ada setitik raguJalani sisa hidup bersamaHati iniTerbius candu asmaramuNamamu melintang di hatikuKemilau gemintang di hatikuSenyumanmu oh kasihHiasi bingkai asmarakuKau menjadi bintang di hatikuKemilau gemintang di hatikuMeski mentari terangi duniaSinar matamu kalahkan semua cahayaTak ada setitik raguJalani sisa hidup BersamaHati iniTerbius candu asmaramuNamamu melintang di hatikuKemilau gemintang di hatikuSenyumanmu oh kasihHiasi bingkai asmarakuKau menjadi bintang di hatikuKemilau gemintang di hatikuTak ada kata yang mampu lukiskan rasaCerita antara kita berduaWahai pelita nuraniSinarmu terang abadiHati iniTerbius candu asmaramuNamamu melintang di hatikuKemilau gemintang di hatikuSenyumanmu oh kasihHiasi bingkai asmarakuKau menjadi bintang di hatikuKemilau gemintang, gemintang di hatikuNamamu melintang di hatikuKemilau gemintang di hatikuSenyumanmu oh kasihKau menjadi bintang di hatikuKemilau gemintang di hatikuOh KasihListen “Gemintang Hatiku” on:Spotify: https://lnk.to/TiaraGemintangHatikuVD/spotifyApple Music: https://lnk.to/TiaraGemintangHatikuVD/applemusicYouTube Music: https://lnk.to/TiaraGemintangHatikuVD/youtubemusicJoox: https://lnk.to/TiaraGemintangHatikuVD/jooxLangit Musik: https://lnk.to/TiaraGemintangHatikuVD/langitmusikFollow Tiara Andini: Twitter: https://twitter.com/tiara_anugrahh Facebook: https://www.facebook.com/TiaraIdol10/Instagram: https://www.instagram.com/tiaraanugrahh/Youtube: https://lnk.to/TiaraAndiniYTManagement/Agency: www.starmedianusantara.com Booking contact: Genta +62 815-9540-609Official Music Video by Tiara Andini performing Gemintang Hatiku © 2020 PT. Universal Music Indonesia"
"mH0_XpSHkZo","TWICE MORE & MORE M/V","2020-06-01T08:59:56Z","UCaO6TYtlC8U5ttz62hTrZgg","JYP Entertainment","10","20.07.06","TWICE|트와이스|twice moreandmore|twice more&more|moreandmore|more&more|트와이스 모어앤모어|트와이스 모얼앤모얼|트와이스몰앤몰|twice 모어앤모어|트와이스 moreandmore|트와이스 more&more|twice moreandmore mv|twice mv|more & more m/v|트와이스뮤비|twice music video|twice more and more music video|트와이스 more&more 뮤비|트와이스 뮤직비디오|twice 9th mini album|트와이스 미니 9집","70680595","2995038","117222","510257","https://i.ytimg.com/vi/mH0_XpSHkZo/default.jpg","False","False","TWICE MORE & MORE M/VSpotify https://TWICE.lnk.to/MOREANDMORE/spotifyApple Music https://TWICE.lnk.to/MOREANDMORE/applemusiciTunes https://TWICE.lnk.to/MOREANDMORE/itunes TWICE Official Shop https://TWICE.lnk.to/Shop TWICE Official YouTube: http://www.youtube.com/c/TWICETWICE Official Facebook: http://www.facebook.com/JYPETWICETWICE Official Twitter: http://www.twitter.com/JYPETWICETWICE Official Instagram: http://www.instagram.com/TWICETAGRAMTWICE Official Homepage: http://TWICE.jype.comTWICE Official Fan's: http://fans.jype.com/TWICEⓒ 2020 JYP Entertainment. All Rights Reserved#TWICE #트와이스 #MOREandMORE"
"bQbZJSbkK4M","Keke Bukan Boneka (@rahmawati kekeyi putri cantikka Cover) | Kevin Aprilio feat. Widy Vierratale","2020-06-02T08:27:43Z","UC7YJ5jYYB6TPo0TqsoWoV3g","Kevin Aprilio & Vicy Melanie","10","20.07.06","kekeyi keke bukan boneka|kekeyi bukan boneka|widy vierra|widy vierratale|kevin widi cover|kevin wiwi keke bukan boneka|aku bukan boneka|keke bukan boneka|kekeyi bukan boneka tiktok|Kekeyi cover|Keke Bukan Boneka Kekeyi|Kekeyi Keke Bukan Boneka cover|Keke Bukan Boneka Kekeyi cover|Kekeyi|Kevin Aprilio|Kevin Aprilio cover|cover Kekeyi Keke Bukan Boneka|cover Keke Bukan Boneka|cover Kevin Aprilio|vierratale|widy vierra cover|kekeyi aku bukan boneka|cover","3318859","185734","3278","16299","https://i.ytimg.com/vi/bQbZJSbkK4M/default.jpg","False","False","Sukses selalu untuk Kekeyi. Link lagu asli di channel Kekeyi: https://youtu.be/2cgMU8qLLIE#kevinaprilio #Widy #kekebukanboneka #vierratale"
"UMG1Fg3Wm7c","MAWAR PUTIH - KALIA SISKA ft SKA 86 (Cover Kentrung)","2020-06-05T11:40:16Z","UCX7RJTce2MLIfE4e8QxRl4g","UYE tone","10","20.07.06","kalia siska reggae|ska 86|reggae terbaru|reggae|ska 86 terbaru|uye tone|ukulele|reggae ska|kentrung|Mawar Putih|mawar putih cover kentrung|mawar putih tiktok|jirolupat tiktok|ji ro lu pat terlena tiktok|dj mawar putih|dj kentrung|dj slow|dj koplo","903994","35974","620","5506","https://i.ytimg.com/vi/UMG1Fg3Wm7c/default.jpg","False","False","MAWAR PUTIH - KALIA SISKA ft SKA 86 (Cover Kentrung)MAWAR PUTIH Official by INUL DARATISTAhttps://www.youtube.com/watch?v=ZGf98A84MAsDukung karya musik original mereka dengan membeli CD atau membeli pada platform musik yang tersedia.Lagu Lagu Cover Kalia Siska Lainnya Ada disini : https://www.youtube.com/playlist?list...Lagu Lagu Cover SKA 86 Lainnya Ada disini : https://www.youtube.com/playlist?list...BAGIKAN/SHARE VIDEO INI SESUKA KALIAN 😊😊❤️❤️#KaliaSiska #Ska86 #AkuRinduPadamuFollow me (Instagram) :@kaliasiska86https://www.instagram.com/kaliasiska86/@skadelapanenamhttps://www.instagram.com/skadelapane..."
"KatzMCEpRVs","THE ONSU FAMILY - HAPPY FAMILY (Official Music Video)","2020-05-31T02:00:10Z","UCrrimexxJpH-zLIrg_IPV_w","MOP Channel","24","20.07.06","happy family|music video|the onsu family|mop channel|betrand peto putra onsu|ruben onsu|sarwendah|thalia putri onsu|thania putri onsu","4382062","307739","6419","85104","https://i.ytimg.com/vi/KatzMCEpRVs/default.jpg","False","False","THE ONSU FAMILY - HAPPY FAMILY (Official Music Video)Judul                     : HAPPY FAMILYPenyanyi               : Betrand Peto Putra Onsu, Sarwendah, Thalia Putri OnsuPencipta               : Aditya GumaySutradara             : Jordi Onsu*  *  *  *  *  *  *  *  *  *Kode RBT untuk Happy Family Betrand Peto Putra Onsu:Telkomsel : ketik BTRAN7 sms ke 1212XL : ketik BTRAN7 sms ke 1818Indosat : ketik MG(spasi)BTRAN7 sms ke 808Tri : ketik MG(spasi)BTRAN7 sms ke 1212Smarfren : ketik BTRAN7 sms ke 1212*  *  *  *  *  *  *  *  *  *Credit Title :General Manager Operational MOP : Terry SoeHead Of Content Production MOP : Dina ApriliaHead Of Facilities MOP  : Luthfy KaharProducer : Kenita AnggrainiCreative Content : Donna Issabella • Raden Ismail PrabowoProduction Assistant : Lukman Nuraji • Dwi Putra KuncoroDOP : Luthfy KaharCameraman : Dimas Isnain Harseno • Fadjar Sikado •  Hidayat SyarifEditor : Ade Yusuf IskandarLightingman : RozaqroUPM : Shony Marida AngriawanTalent Coordinator : Desty • HannyMake Up & Hair Do : Candra Zhang & Bibi NonieWardrobe & Stylist : Benjamin Bandel & Dino Miliano Still Photo  : Fachri*  *  *  *  *  *  *  *  *  *Thanks To : - Tuhan YME- Bento X Bensu Seluruh Indonesia, Taiwan, Malaysia, Singapore, Hongkong Dan Seluruh Dunia- MOP Lovers- Subscribers Mop Channel- Semua yang mensupport Mop Channel- Dan Semua yang terlibat dalam Video Klip Ini*  *  *  *  *  *  *  *  *  *Lirik:HAPPY FAMILYBETRAND:HAPPY HAPPY FAMILY WE ARE HAPPY FAMILYSETIAP HARI SELALU GEMBIRA HATIBERNYANYI MENARIKEKANAN KEKIRIWE ARE HAPPY FAMILYBUNDA SARWENDAH:HAPPY HAPPY FAMILY WE ARE HAPPY FAMILYSETIAP HARI SELALU GEMBIRA HATIBERMAIN TERTAWAHA HA HA HI HI HIWE ARE HAPPY FAMILYBETRAND & THALIA:HIDUP UDAH RIBET JANGAN BIKIN MUMETHABIS WAKTU KITAMIKIRIN YANG SUSAHYANG ADA DI NIKMATIYANG ADA DI JALANICAUSE WE AREHAPPY FAMILYTHALIA:HAPPY HAPPYHAPPY SEPANJANG HARIAYAH BUNDAADIK KAKA SEMUA HAPPYBETRAND:TEBARKAN GEMBIRAMULEBARKAN SENYUMANMUBUAT FAMILY MUHAPPY BETRAND & THALIA:HAPPY HAPPY FAMILYWE ARE HAPPY FAMILYSETIAP HARI SELALU GEMBIRA HATIBERMAIN TERTAWAHA HA HA HI HI HIWE ARE HAPPY FAMILYBETRAND & THALIA:HIDUP UDAH RIBETJANGAN BIKIN MUMETHABIS WAKTU KITAMIKIRIN YANG SUSAHYANG ADA DI NIKMATIYANG ADA DI JALANICAUSE WE AREHAPPY FAMILY#happyfamily #theonsufamily #betrandpetoputraonsu #rubenonsu #sarwendah29 #thaliaputrionsu #thaniaputrionsu #mopchannel #videoklip #musicvideo"
"TyA_BMO105I","THE INVISIBLE MAN ( MAELL & DJARBI MENGHILANG)","2020-06-04T12:00:11Z","UCgYmNAhjfv5GYWBOfzp831Q","Maell Lee","23","20.07.06","maelle|maellers|bukan|kaleng|gak ada otak kau|kuretakkan|ginjal|kau|video baru maell lee","793894","31705","1131","1835","https://i.ytimg.com/vi/TyA_BMO105I/default.jpg","False","False","GAK FOLLOW RETAK GINJAL KAU!!!INSTAGRAM @maell_leehttps://www.instagram.com/maell_lee/@rama_djarothttps://www.instagram.com/rama_djarot/@rudypoetraahttps://www.instagram.com/rudypoetraa/@imingmiaohttps://www.instagram.com/imingmiao/BUSINESS INQUIRIESEmail : maelllee.management@gmail.comTelp : 082210013138 (egy) - 0818951886 (robert)"
