video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"c34LzZaeD6o","Drama Setan 2[Serius+Spontan] : TOLONG FAHAMIKU","2020-05-13T09:28:27Z","UCqWKZzi070JAbB6Adlvn5Qg","Syahmi Sazli","24","20.17.05","drama setan|drama spontan|syahmi sazli","1117606","72717","1294","5466","https://i.ytimg.com/vi/c34LzZaeD6o/default.jpg","False","False","Drama Setan 2 mengisahkan isteri yang tidak pernah cuba untuk memahami si suami.Tajaan: Portal Cari Jodoh Muslim Malaysia TillJannah.myMusic: Instrumental - https://youtu.be/Fq2aT3XIxtcCover Khai Bahar - https://youtu.be/W4hZ09o9ehI"
"ci9966i1VtU","Kau nak lari mana?","2020-05-15T11:19:11Z","UC22UFqscznRcYicQUpmLTeg","Harian Metro","25","20.17.05","Harian Metro|HMOnline|MetroTV|HM|Jalan Pasar Pudu|pkpd|warga asing|panjat kawat duri|covid-19","400742","3987","157","1003","https://i.ytimg.com/vi/ci9966i1VtU/default.jpg","False","False","Tindakan seorang lelaki dipercayai warga asing cuba melarikan diri dari kawasan diperketatkan kawalan di Jalan Pasar Pudu, pada Jumaat, 15 Mei gagal selepas berjaya ditahan polis.Dalam kejadian 2 petang itu, lelaki berusia lingkungan 30-an berkenaan dikatakan memanjat pagar kawat duri yang dipasang dan keluar ke sebuah pusat beli-belah berhampiran untuk mengelak menjalani ujian saringan Covid-19.  https://www.hmetro.com.my/mutakhir/2020/05/578811/warga-asing-ditahan-cuba-lari-ujian-saringan-covid-19-metrotv-------------------------------------#HMETRO #METROTVPlease visit our website for more news http://www.hmetro.com.myPlease like http://www.facebook.com/harianmetro Please follow http://www.twitter.com/hmetromyAnd also our http://www.instagram.com/hmetromy"
"TgOu00Mf3kI","[MV] IU(아이유) _ eight(에잇) (Prod.&Feat. SUGA of BTS)","2020-05-06T09:00:16Z","UCweOkPb1wVVH0Q0Tlj4a5Pw","1theK (원더케이)","24","20.17.05","K-POP|Kpop|1theK|원더케이|Original|1theK Original|TOP100|idol|아이돌|라이브|LIVE|멜론|원더케이 오리지널|음악|IU|아이유|에잇|eight|SUGA|BTS|슈가|방탄소년단","41100679","3882219","58604","251672","https://i.ytimg.com/vi/TgOu00Mf3kI/default.jpg","False","False","[MV] IU(아이유) _ eight(에잇) (Prod.&Feat. SUGA of BTS)K-POP Wonderland, 1theKK-POP의 모든 즐거움을 1theK(원더케이)에서 만나보세요! :)Welcome to the official YouTube channel of K-POP Wonderland, 1theK1theK Originals Subscribe 👉 https://www.youtube.com/1theKOriginals?sub_confirmation=1*****Hello, this is 1theK. We are working on subtitles now!Please come back and watch it again within a few hours.Thank you for your waiting and continuing interest :)*****[Notice] 1theK YouTube is also an official channel for the MV, and music shows will count the views from this channel too.[공지] 1theK YouTube는 MV를 유통하는 공식 채널로, 1theK에 업로드된 MV 조회수 또한 음악방송 순위에 반영됩니다.#NEWRELEASE#MV#1theK#원더케이▶1theK YT : https://www.youtube.com/1theK▶1theK FB  : http://www.facebook.com/1theK▶1theK TW : https://twitter.com/1theK▶1theK Kakao : https://goo.gl/otRpZc▶1theK TikTok : https://vt.tiktok.com/2mSMBS"
"6QRq0d5D6V0","SIAPA COKI?","2020-05-12T10:00:02Z","UCtVe8gyOHolwunJYP5zm6Sg","ASA Production","1","20.17.05","uniten|uitm|myputerakopi|mcp|mpk|mycoffeeprince|malaysia|instadrama|instamegadrama|viner|uitmpp|syafiq|ahmad|syafiqahmad|ASAPRODUCTION|fattahamin|azwar|bangi|kajang|selangor|semenyih|putrajaya|kualalumpur|madi|haikal|dina|bolasepak|kptm|upm|upnm|ukm|unikl|iukl","474860","17943","1243","2326","https://i.ytimg.com/vi/6QRq0d5D6V0/default.jpg","False","False","Pergh! Terbaik la COKI kerana menghiburkan anda.IG : @teambuathal88   #teambuathal #tbh #tbharmy #asaproduction #coki"
"pE49WK-oNjU","Ariana Grande & Justin Bieber - Stuck with U (Official Video)","2020-05-08T04:00:09Z","UC0VOyT2OCBKdQhF3BAbZ-1g","ArianaGrandeVevo","10","20.17.05","Ariana|Grande|Justin|Bieber|Stuck|with|Universal|Records|Pop","39162422","2534696","53711","100860","https://i.ytimg.com/vi/pE49WK-oNjU/default.jpg","False","False","SB Projects along with longtime clients Ariana Grande and Justin Bieber release “Stuck with U” to benefit First Responders Children’s Foundation: https://stuckwithu.lnk.to/agjbPVIn response to the COVID-19 crisis and to help further bolster relief efforts, all net proceeds from the streams and sales of “Stuck with U” will be donated to First Responders Children’s Foundation to fund grants and scholarships for children of healthcare workers, emergency medical technicians (EMTs), paramedics, police officers and firefighters serving at the front lines during the global pandemic. That means that by listening, watching, and sharing – you are helping to support families in need. If you would like to make an additional contribution to First Responders Children's Foundation, click the donate button. Thank you to all the fans, friends and first responders who participated.Created & directed by: Rory Kramer, Alfredo Flores, Ariana Grande, Justin Bieber, Scooter Braun Lyrics:I’m not one to stick aroundOne strike and you’re out babyDon’t care if I sound crazyBut u never let me down No, noThat’s why when the sun’s up I’m stayinStill laying in your bed sayinOoh, ooh, ooh, oohGot all this time on our handsMight as well cancel our plansI could stay hereFor a LifetimeSo lock the door, and throw out the keyCan’t fight this no more, it’s just u and meAnd there’s nothin I, nothin I I can doI’m stuck with uStuck with uStuck with uSo go ahead and drive me insaneBaby run your mouth, I still wouldn’t changeBeing stuck with uStuck with uStuck with uI’m stuck with u Stuck with uStuck with u babyThere’s nowhere we need to beNo, no, noIma get to know u betterKinda hope we’re here foreverThere’s nobody on the streetsAnd if u told me the world’s endinAin’t no other way that I can spend it[Pre-Chorus 2]Ooh, ooh, ooh, oohGot all this time in my handsMight as well cancel our plansI could stay hereForeverSo lock the door, and throw out the keyCan’t fight this no more, it’s just u and meAnd there’s nothin I, nothin II can doI’m stuck with uStuck with uStuck with uSo go ahead, and drive me insaneBaby run your mouth, I still wouldn’t tradeBeing stuck with u Stuck with uStuck with uI’m stuck with uStuck with uStuck with uOh-oh-oh-ohBaby come take all my timeGo on make me lose my mindWe got all that we need here tonightLock the door, and throw out the keyCan’t fight this no more, it’s just u and meAnd there’s nothing INothing I’d rather doI’m stuck with uStuck with uStuck with uSo go ahead and drive me insaneBaby run your mouth, I still wouldn’t trade all thisLovin u, hatin u, wantin uI’m stuck with uStuck with uStuck with uStuck with uStuck with uStuck with u#StuckwithU #ArianaGrande #JustinBieberMusic video by Ariana Grande, Justin Bieber performing Stuck with U. © 2020 Silent Records Ventures, LLC, Def Jam Recordings, a division of UMG Recordings, Inc., and Republic Records, a division of UMG Recordings, Inc.http://vevo.ly/7lAqPq"
"I1D7jRktEyU","M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video)","2020-05-13T05:00:04Z","UCSUWBtaz8MVTFy9GULySSmA","Sony Music MY","10","20.17.05","Sony Music|M Nasir|Satu Hari Di Hari Raya|Back Catalogue|Back Catalog|Raya Back Catalogue|Raya Back Catalog|HOTfm|ERA|Sentuhan Hari Raya|Karaoke Melayu|Karaoke|Lagu Raya|Raya Song|Official Lyric Video|Sony Music Malaysia","183150","3030","114","297","https://i.ytimg.com/vi/I1D7jRktEyU/default.jpg","False","False","M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video)Performed By: M.Nasir  Album: Sentuhan Hari RayaComposed By: M. Nasir Lyrics By: M. Nasir Satu Hari Di Hari Raya is an evergreen Raya song, fully written and sung by M.Nasir, the legendary music maestro,  26 years ago.Muat turun nada dering ‘Satu Hari Di Hari Raya’!DiGi: Taip *233*0464416# Maxis: Taip *131*468341#Celcom: Taip *323*619845##MNasir #SatuHariDiHariRaya© 2020 Sony Music Entertainment Malaysia Sdn BhdAll rights reserved. Unauthorised reproduction is a violation of applicable laws."
"q8RHOrtOR5U","【事态严重】接到政府電話， 一次過被騙走RM38600.90 ？! 還判定我們破產！(Jeff & Inthira)","2020-05-11T12:40:50Z","UCdFMeayF4c0cWvbHQomc6BA","Jeff & Inthira","24","20.17.05","Jeff & Inthira|2019 best prank ever prank funny Prank|youtube|Prankster|couple|prank|dennis lim ming bryson 大神油賤 阿源ivan leeCodyhongtv songseng 聖結石 菜啊嘎 眾量級|tomato ah ya yang bao bei|眾量級|含羞草|游否希|在不瘋狂|joeman","1122587","30594","881","3345","https://i.ytimg.com/vi/q8RHOrtOR5U/default.jpg","False","False","我们的Youtube频道 ： https://goo.gl/Nae2Kq（記得打開小鈴鐺）粉專：https://www.facebook.com/JeffXInthira...IG: jeffleong16https://www.instagram.com/jeffleong16IG: inthira16 https://www.instagram.com/inthira16Kungfu Panda Ighttps://www.instagram.com/kungfupanda...如有任何媒體和贊助諮詢，請聯繫：inthirakalanjiam@gmail.com——————————————————————"
"SqbRmAM2xac","Bukan Gadis Biasa (2020) | Episod 21","2020-05-16T12:02:27Z","UCv5bMX0RoQU9jaPT8Ru-cQQ","Drama Sangat Official","24","20.17.05","Bukan Gadis Biasa|Malay|Malaysia|Hj Azman Hj Yahya|Sheila binti Rusly|Ayda Jebat|Remy Ishak|Sheila Rusly|Nazim Othman|Ozlyn Wati|Haeriyanto Hassan|Editor(s) Valeri Wong|Executive Producer(s) Uzair Haqimy bin Azman|Scriptwriter PGRs Team|dramasangat","350639","4213","374","520","https://i.ytimg.com/vi/SqbRmAM2xac/default.jpg","False","False","Johana bukan gadis sembarangan. Rambutnya dicukur pendek. Kalau ada yang cuba mencari fasal, dia tidak teragak-agak melayangkan penumbuk. Jeans dan kemeja menjadi teman akrabnya. Misinya hanya satu, memberi masa depan yang lebih baik untuk si kecil Aisya yang memanggilnya ‘emak’. Cinta adalah sesuatu yang asing baginya. Pertemuan semula Amirul dengan Johana membuatkan Amirul yakin tentang perasaannya. Hidup Johana sering kali bersimpang-siur dengan Rayyan, sepupu Amirul yang degil tetapi berprinsip. Kemunculan adik Rayyan, Amer membuatkan Jo rasa terpukul. Si mata keranjang itu cuba mencari jalan 'fast track' ke hatinya sedangkan Amirul yang terlebih dahulu ada masih setia menanti. Takdir memerangkap dirinya di antara tiga hati yang bersaudara. Mampukah dia terus menipu diri? Atau haruskah dia pulang kepada fitrah, memilih jalan bahagianya bertemankan sekeping hati yang lain?"
"gxuLRe6RAVA","Gary has to be Haoh’s son now! [The Return of Superman/2020.05.10]","2020-05-12T05:37:19Z","UC5BMQOsAB8hKUyHu9KI6yig","KBS World","24","20.17.05","kbs|kbsworld|kbs world|韓流|放送|韩国综艺|韩国电视剧|truyền hình Hàn Quốc|ประเทศเกาหลีใต้|ละคร|Corea|Corée|drama|دراما|دراما كورية|kbskpop|yt:cc=on|슈퍼맨이 돌아왔다|The Return Of Superman|superman|슈퍼맨|Sam Hammington|샘 해밍턴|윌리엄|벤틀리|William|Bentley|tros|tros eng sub|The Return Of Superman ep328|family|children|baby|child|Do Kyungwan|Jang Yoonjeong|연우|하영|Yeonwoo|Hayoung|Gary|Hao|개리|하오|Moon Heejoon|So Yul|Jam Jam|Moon Heeyul|문희율|잼잼","806243","32848","159","1911","https://i.ytimg.com/vi/gxuLRe6RAVA/default.jpg","False","False","Click the Caption button to activate subtitle!▶The Return of Superman | 슈퍼맨이 돌아왔다 - Ep.328- Every Sunday 19:15 (Seoul,UTC+9)- Cast:  Sam Hammington, Do Kyungwan, Moon Heejoon, Gary▶Full EpisodesMusic Bank clips:https://www.youtube.com/playlist?list=PLEC6C5307EE979510Music Bank interviews & winning moments:https://www.youtube.com/playlist?list=PLMf7VY8La5RHEIZ71XBEU9t9HQNKqm83YThe Return of Superman:https://www.youtube.com/playlist?list=PLMf7VY8La5RFIeOyIZ5IOm68WVb7c2dyTJung Hae In’s Travel Loghttps://www.youtube.com/playlist?list=PLMf7VY8La5RFY8ct1WvLBzT7CiiK8wmcRDogs are incredible:https://www.youtube.com/playlist?list=PLMf7VY8La5RHyRoQL25aDHMIyqG6qmvbsStars' Top Recipe at Fun-Staurant:https://www.youtube.com/playlist?list=PLMf7VY8La5RGn0amdjSh8_3rU4zcApL3NUnasked Family:https://www.youtube.com/playlist?list=PLMf7VY8La5RHOrGquk0-VpaVNW1J1vLh5The Miracle We Met:https://www.youtube.com/playlist?list=PLMf7VY8La5RFRfeoLBQ-VtoLB3oPlMeTt2019 KBS Entertainment Awards:https://www.youtube.com/playlist?list=PLMf7VY8La5RGnJHJGzauxYolX6bel3k8J2019 KBS Song Festival: https://www.youtube.com/playlist?list=PLMf7VY8La5RF_MYEdtuaOYEu5C7CYx3RH2019 KBS Drama Awardshttps://www.youtube.com/playlist?list=PLMf7VY8La5RFZMWAuf21ilSwE6cDdEMh_When you are now sure what to watch:https://www.youtube.com/playlist?list=PLMf7VY8La5REjpb94an3gNiRHYJOx8fz8▶Subscribe KBS World Official PagesYoutube Subscribe：https://www.youtube.com/kbsworldHomepage: http://www.kbsworld.co.kr Facebook: http://www.facebook.com/kbsworldTwitter: http://twitter.com/kbsworldtv Instagram: https://www.instagram.com/kbsworldtv/Line: https://goo.gl/g5iRQVAndroid Download : http://bit.ly/1NOZFKrIOS Download : http://apple.co/1NktctW"
"gbPqmGVm8uU","EXTREME HIDE AND SEEK CHALLENGE || Last To Be Found Wins! 24 Hour Game By 123 GO! CHALLENGE","2020-05-09T14:00:17Z","UC_O-vmjpkom1m5shISID94g","123 GO! CHALLENGE","22","20.17.05","challenge|challenges|prank|pranks|fun|funny|123 go|123go|DIY|123 go challenge|123go challenge","8557840","67108","11117","5106","https://i.ytimg.com/vi/gbPqmGVm8uU/default.jpg","False","False","Another afternoon without plans? And needless to say, everyone’s bored out of their minds.Ugh, there’s nothing to do! Or is there?The best way to have fun with your friends is to play that super cool game - Hide and Seek!Here’s how it works. We each draw cards to determine who hides and who seeks.Think you could come up with a good hiding spot? Challenge your friends to a game! And, as always, don’t forget to subscribe to our 123 GO! CHALLENGE YouTube channel for more hilarious videos like this one! #123GO  #hideandseek  #24Hours Music by Epidemic Sound: https://www.epidemicsound.com/Stock materials:https://www.depositphotos.comhttps://www.shutterstock.comhttps://elements.envato.com"
